source_facility_id,source_facility_name,classification,match_method,current_ltc_facid,current_ltc_name,current_ltc_type,acute_facid,acute_type,last_staffing_quarter,attach_staffing,notes
61701,"Friends Village At Woodstown, Inc.",NON_NURSING_FACILITY,facid_variant_current_all_ltc,061701,FRIENDS VILLAGE AT WOODSTOWN (061701),NJ_LTC_UNSPECIFIED,,,2021_Q4,False,FacID is in current All_LTC but is not a CMS nursing class; staffing is not attached
NJ018251,Renaissance Pavilion,RENAMED_LTC_FACILITY,successor_facid_name,NJ0182510,RENAISSANCE PAVILION (NJ0182510),NJ_NF_SNF,,,2022_Q4,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
NJ060920,"The Villa At Florham Park, Inc",CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2022_Q1,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ07011,Clara Maass Transitional Care Unit,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2023_Q1,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ30202,Armenian Nursing and Rehabilitation Center,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2020_Q4,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ306100,Hackensack-UMC Mountainside,RENAMED_LTC_FACILITY,successor_facid_name,NJ3061001,HACKENSACK-UMC MOUNTAINSIDE (NJ3061001),NJ_NF_SNF_SUBACUTE_HOSPITAL,,,2021_Q1,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
NJ31605,St. Joseph's Home For Elderly,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2023_Q4,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ32101,House Of The Good Shepherd,RENAMED_LTC_FACILITY,successor_facid_name,NJ321011,HOUSE OF THE GOOD SHEPARD (NJ321011),NJ_NF_SNF,,,2022_Q2,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
NJ406100,Carepoint Health - Bayonne Hospital Center Transitional Care Unit,RENAMED_LTC_FACILITY,successor_facid_name,NJ4061001,CAREPOINT HEALTH - BAYONNE HOSPITAL CENTER TCU (NJ4061001),NJ_NF_SNF_SUBACUTE_HOSPITAL,,,2021_Q1,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
NJ60229,Alaris Health at Rochelle Park,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2020_Q4,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ60230,Bergen County Health Care Center,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2021_Q3,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ60312,Sterling Manor,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2024_Q3,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ60904,Alaris Health at Boulevard East,RENAMED_LTC_FACILITY,facid_variant_name_differs,NJ060904,OPTIMA CARE RIVERVIEW (NJ060904),NJ_NF_SNF,,,2021_Q1,False,FacID variant exists in All_LTC under a different licensed name; continuity is review-required
NJ60920,"THE VILLA AT FLORHAM PARK, INC",RENAMED_LTC_FACILITY,successor_facid_name,NJ609201,FLORHAM PARK REHABILITATION AND HEALTHCARE CENTER (NJ609201),NJ_NF_SNF,,,2021_Q1,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
NJ61107,Princeton Care Center,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2023_Q2,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ61525,Care One at Jackson,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2020_Q1,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ61527,Leisure Park Health Center,RENAMED_LTC_FACILITY,successor_facid_name,NJ615271,LEISURE PARK HEALTH CENTER (NJ615271),NJ_NF_SNF,,,2021_Q2,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
NJ61808,Complete Care at Willow Creek,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2023_Q1,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ61901,Woodland Behavioral and Nursing Center,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2022_Q2,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJ62218,Holy Name Friary,CLOSED_OR_NO_LONGER_IN_CURRENT_WORKBOOK,absent_from_current_all_ltc,,,,,,2019_Q1,False,"Historical staffing FacID is not in the current All_LTC workbook. Observation is retained, not attached by name."
NJJWOWMI,Southern Ocean Medical Center,RENAMED_LTC_FACILITY,successor_facid_name,NJJWOWMI1,SOUTHERN OCEAN MEDICAL CENTER (NJJWOWMI1),NJ_NF_SNF_HOSPITAL,,,2021_Q4,False,Possible successor FacID in current All_LTC. Official continuity is not confirmed; do not auto-attach.
